"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
3078;37;224,954510800779;"3-100%";"Hetraie";1;36,2214283716111;36,6000003814697;42
3178;218;238;"1-75%;5-13%";"Chenaie";1;33,3341455692198;33,2999992370605;41
3256;75;253,854075485616;"3-100%";"Hetraie";1;33,5269239865817;33,7999992370605;26
3556;176;214;"4-66%;11-34%";"Erabliere";1;29,2461542960925;29,7000007629395;39
3734;18;277;"3-74%;4-26%";"Hetraie";1;31,7175001144409;32;40
3734;151;238,525823848649;"5-81%;24-19%";"Frenaie";1;33,538236393648;33,6499996185303;34
3734;231;232,972381347145;"5-50%;24-25%";"Frenaie";1;34,2928559893653;33,5999984741211;42
3778;183;272,106934272775;"3-69%;2-31%";"Hetraie";1;29,2512192609834;29,8999996185303;41
3812;6;329;"3-100%";"Hetraie";1;36,3524995803833;35,5;40
3812;58;268,49069968929;"3-68%;15-31%";"Hetraie";1;28,5343746542931;31,8999996185303;32
3834;31;256,98243792032;"3-81%;1-19%";"Hetraie";1;33,1926838944598;32,9000015258789;41
3878;67;73;"3-100%";"Hetraie";1;13,9853660536975;13,5;41
3878;122;287,480608738931;"5-40%;1-36%";"Autres feuillus nobles";1;32,038095383417;32,5;42
3878;141;281,897207702955;"3-100%";"Hetraie";1;35,2825005531311;35,2999992370605;40
3878;166;255,897389383985;"1-68%;11-31%";"Chenaie";1;29,3428567068917;29,7999992370605;35
3912;231;311,327846603323;"3-60%;2-40%";"Hetraie";1;36,4902433069741;37,2999992370605;41
3912;237;133,912189601602;"15-73%;1-27%";"Autres peuplements feuillus";1;23,8285714104062;23,4500007629395;42
3934;33;196,826869579644;"15-74%;5-26%";"Autres peuplements feuillus";1;28,9883723591649;29,5;43
3934;162;233,968716914647;"3-100%";"Hetraie";1;35,6585360736382;37;41
3934;181;366,271410429584;"3-100%";"Hetraie";1;38,2368423060367;38,5;38
3956;33;265,50826176897;"24-69%;5-31%";"Autres peuplements feuillus";1;37,6268282634456;38,0999984741211;41
3956;111;232,898158576261;"3-78%;1-22%";"Hetraie";1;31,3205126737937;31,7999992370605;39
3956;128;144,875716062151;"3-100%";"Hetraie";1;32,5904763085502;32,3999996185303;42
3956;145;137,964875840641;"3-50%;11-50%";"Hetraie";1;25,2157896945351;24,8999996185303;38
3978;18;236,889525388579;"5-77%;44-23%";"Frenaie";1;31,6809518904913;31,6000003814697;42
3978;292;205,736568804805;"3-100%";"Hetraie";1;31,8690472103301;32,0999984741211;42
4012;132;254;"3-100%";"Hetraie";1;33,039535433747;36;43
4034;132;190;"7-50%;15-28%";"Autres feuillus nobles";1;28,9761904761905;30,5;42
4056;288;176,558955753594;"3-60%;16-22%";"Hetraie";1;29,4174999237061;30;40
4178;258;241;"1-48%;15-22%";"Autres peuplements feuillus";1;25,95952410925;25,8999996185303;42
4178;317;254,929886894521;"1-61%;3-39%";"Chenaie";1;24,4777779049344;24,2000007629395;27
4234;145;84;"15-100%";"Autres peuplements feuillus";1;23,2902438931349;18,7000007629395;41
4234;147;209;"1-100%";"Chenaie";1;28,4249997615814;28,8999996185303;40
4234;183;268,894118788034;"3-55%;1-45%";"Hetraie";1;26,3902437628769;26,6000003814697;41
4256;77;31;"11-100%";"Autres peuplements feuillus";1;14,0975610453908;14,5;41
4256;96;250,771692964164;"3-58%;1-26%";"Hetraie";1;29,6720929256705;29,1000003814697;43
4256;98;286,660735195072;"3-87%;1-13%";"Hetraie";1;27,1785717464629;26,9500007629395;42
4256;113;222,824576375009;"3-100%";"Hetraie";1;28,3349997520447;28,5;40
4256;151;123;"11-100%";"Autres peuplements feuillus";1;22,6170732451648;21,2000007629395;41
4256;178;155,668576165737;"1-60%;11-40%";"Chenaie";1;23,2292679577339;23,2999992370605;41
4278;92;110;"7-100%";"Autres feuillus nobles";1;27,3499994277954;27,3499994277954;14
4278;96;148;"11-36%;1-36%";"Autres peuplements feuillus";1;21,0595237641107;22,6499996185303;42
4278;176;219;"1-52%;7-26%";"Chenaie";1;20,9149996757507;21,1000003814697;40
4278;258;106;"11-100%";"Autres peuplements feuillus";1;24,8951223885141;24,6000003814697;41
4312;145;140,929751681281;"13-74%;11-26%";"Autres peuplements feuillus";1;25,5292684043326;25;41
4312;147;151;"4-77%;7-23%";"Erabliere";1;26,5205129965758;27,2000007629395;39
4312;204;237,650487089763;"1-99%;11-1%";"Chenaie";1;26,1942857469831;26,1000003814697;35
4312;227;236,924184667964;"3-50%;1-50%";"Hetraie";1;27,3048780022598;27,3999996185303;41
4312;258;74;"1-99%;11-1%";"Chenaie";1;20,9024389778695;21,7999992370605;41
4312;305;182,806817123524;"1-84%;13-15%";"Chenaie";1;25,7452382587251;25,3999996185303;42
4334;6;243,779477876797;"1-87%;11-13%";"Chenaie";1;27,5142855871291;27,2999992370605;42
4334;8;142,792860103586;"11-47%;4-31%";"Autres peuplements feuillus";1;31,057575861613;32,5999984741211;33
4334;77;165,7657647254;"1-99%;11-1%";"Chenaie";1;23,5390245391101;23,2000007629395;41
4356;33;90;"1-100%";"Chenaie";1;24,8799997965495;23,7999992370605;30
4356;147;179;"1-79%;14-21%";"Chenaie";1;25,6071427663167;25,3999996185303;42
4356;168;245,875716062152;"3-65%;1-35%";"Hetraie";1;24,7060605829412;24,7000007629395;33
4356;227;184;"1-100%";"Chenaie";1;28,6292684601574;28,6000003814697;41
4356;231;261,877735049249;"3-52%;41-27%";"Hetraie";1;25,2199999809265;26;40
4356;242;182,5754341406;"1-76%;3-24%";"Chenaie";1;25,9155550214979;26,2999992370605;45
4356;256;268,301736562398;"3-66%;1-34%";"Hetraie";1;29,0707319306164;29,1000003814697;41
4378;23;72;"11-100%";"Autres peuplements feuillus";1;18,929268232206;19;41
4378;61;207,781290334707;"1-100%";"Chenaie";1;26,1585363527624;25,3999996185303;41
4378;86;100;"11-100%";"Autres peuplements feuillus";1;21,5025647481283;20,7000007629395;39
4378;103;158,909021601557;"1-100%";"Chenaie";1;19,9619045711699;20,1999998092651;42
4412;208;173,139458095697;"11-60%;2-40%";"Autres peuplements feuillus";1;25,5150000095367;26,1500005722046;40
4412;248;223,455575529931;"1-99%;25-1%";"Chenaie";1;29,6000001998175;29,1999998092651;42
4412;271;125;"3-100%";"Hetraie";1;23,1785717918759;23,6000003814697;42
4434;294;265,912189601602;"1-63%;44-19%";"Chenaie";1;28,6487803110262;28,6000003814697;41
4512;128;194,367765131532;"5-65%;1-35%";"Frenaie";1;30,0749995708466;29,7999992370605;40
4512;134;337,302805097945;"3-79%;1-21%";"Hetraie";1;30,4833331789289;30,2999992370605;42
4512;147;224,244830573775;"3-54%;5-35%";"Hetraie";1;24,1853660490455;25,2000007629395;41
4512;155;203,332640972173;"1-64%;4-36%";"Chenaie";1;28,009523664202;28,0499992370605;42
4512;256;132,117911507188;"13-53%;5-47%";"Autres peuplements feuillus";1;22,9024388848282;22,3999996185303;41
4512;315;138,918930825342;"4-100%";"Erabliere";1;22,1790700069694;22,2000007629395;43
4534;54;198,719006725125;"2-46%;3-35%";"Autres feuillus nobles";1;23,5738097145444;24,1000003814697;42
4534;134;89;"11-99%;2-1%";"Autres peuplements feuillus";1;17,7642855417161;17,6000003814697;42
4556;298;248,49069968929;"15-99%;1-1%";"Autres peuplements feuillus";1;29,0609752841112;29,1000003814697;41
4556;317;242,367765131532;"1-71%;5-26%";"Chenaie";1;28,8800000667572;29,3999996185303;40
4578;202;261,964875840641;"1-100%";"Chenaie";1;29,9341462763344;30,5;41
4578;221;183,438013450251;"3-100%";"Hetraie";1;29,1444445186191;29,1000003814697;36
4612;111;128,740578641096;"5-100%";"Frenaie";1;31,2921053735833;31,2999992370605;38
4634;138;83;"5-100%";"Frenaie";1;24,0902441536508;24,7000007629395;41
4656;117;245,420451370571;"5-78%;1-21%";"Frenaie";1;31,626190276373;31,8999996185303;42
4656;197;271,651249472635;"1-34%;2-28%";"Autres peuplements feuillus";1;31,2282052162366;31,7999992370605;39
4678;52;191;"1-100%";"Chenaie";1;26,8658533794124;26,7999992370605;41
4712;187;185,302805097945;"5-77%;4-23%";"Frenaie";1;25,7749997138977;26,2999992370605;40
4734;113;176,378580310758;"5-100%";"Frenaie";1;24,3976190203712;23,7999992370605;42
4734;231;283,659509466438;"3-100%";"Hetraie";1;35,2166670844668;35;42
4734;256;43;"14-100%";"Autres peuplements feuillus";1;30,6799997329712;30,5;40
4734;258;260;"3-47%;5-36%";"Autres feuillus nobles";1;28,1325005054474;27,2000007629395;40
4734;273;201;"3-79%;4-21%";"Hetraie";1;29,963415145874;30,7999992370605;41
4734;305;271,151837987681;"5-54%;1-25%";"Frenaie";1;29,6249996185303;29,8999996185303;40
4756;44;359,710376972519;"15-55%;1-45%";"Autres peuplements feuillus";1;29,4878047850074;29,6000003814697;41
4756;75;226;"5-51%;3-42%";"Frenaie";1;31,7549990653992;32,5999984741211;40
4756;82;279;"1-73%;7-26%";"Chenaie";1;27,2473682102404;26,5;38
